순번,대분류,상품명,대여횟수,제조사,구성품,장난감나라 위치
43,"조작,탐색",자석 재활용 분류놀이,0,탑브라이트,본체1개,"서울특별시 용산구 백범로 329, 1층"
44,"조작,탐색",오뚝이볼타워,1,탑브라이트,"본체, 공3개","서울특별시 용산구 백범로 329, 1층"
45,"조작,탐색",오뚝이볼타워,1,탑브라이트,"본체, 공3개","서울특별시 용산구 백범로 329, 1층"
46,"조작,탐색",애플 쉐이프솔터,0,탑브라이트,"본체, 블록7개","서울특별시 용산구 백범로 329, 1층"
47,"조작,탐색",애플 쉐이프솔터,0,탑브라이트,"본체, 블록7개","서울특별시 용산구 백범로 329, 1층"
48,언어,리틀퓨처북 로보카 폴리펜 올인원세트,1,토이트론,"폴리펜, 가방, 책2권, 포스터, 캐릭터스티커, 한글카드30장, 한글자모표, 숫자카드30장, 알파벳카드30장","서울특별시 용산구 백범로 329, 1층"
49,언어,리틀퓨처북 로보카 폴리펜 올인원세트,1,토이트론,"폴리펜, 가방, 책2권, 포스터, 캐릭터스티커, 한글카드30장, 한글자모표, 숫자카드30장, 알파벳카드30장","서울특별시 용산구 백범로 329, 1층"
50,언어,리틀퓨처북 뽀로로펜 코딩플러스,1,토이트론,"뽀로로펜, 그림책3개, 포스터3개, 노래카드","서울특별시 용산구 백범로 329, 1층"
51,언어,리틀퓨처북 뽀로로펜 코딩플러스,1,토이트론,"뽀로로펜, 그림책3개, 포스터3개, 노래카드","서울특별시 용산구 백범로 329, 1층"
52,역할놀이,퍼니소피 토끼 종합 병원 놀이 18종(핑크),0,퍼니소피,"가방, 의료도구18개","서울특별시 용산구 백범로 329, 1층"
53,역할놀이,퍼니소피 토끼 종합 병원 놀이 18종(파랑),0,퍼니소피,"가방, 의료도구18개","서울특별시 용산구 백범로 329, 1층"
54,"조작,탐색",말하는 피넛 남산버스,0,피노키오,본체1개,"서울특별시 용산구 백범로 329, 1층"
55,"조작,탐색",말하는 피넛 남산버스,1,피노키오,본체1개,"서울특별시 용산구 백범로 329, 1층"
56,역할놀이,놀면서 배워요 요리놀이 세트,1,피셔프라이스,"보울, 우유통, 계량컵, 체리, 계란, 스쿱, 초콜릿","서울특별시 용산구 백범로 329, 1층"
57,역할놀이,놀면서 배워요 요리놀이 세트,1,피셔프라이스,"보울, 우유통, 계량컵, 체리, 계란, 스쿱, 초콜릿","서울특별시 용산구 백범로 329, 1층"
58,"조작,탐색",스마트 피기뱅크,0,피셔프라이스,"본체, 동전10개","서울특별시 용산구 백범로 329, 1층"
59,"조작,탐색",스마트 피기뱅크,1,피셔프라이스,"본체, 동전10개","서울특별시 용산구 백범로 329, 1층"
60,역할놀이,프리미엄 야채네 과일가게,0,한립토이즈,"야채,과일30개, 도마2개, 칼2개, 책자","서울특별시 용산구 백범로 329, 1층"
61,역할놀이,프리미엄 야채네 과일가게,0,한립토이즈,"야채,과일30개, 도마2개, 칼2개, 책자","서울특별시 용산구 백범로 329, 1층"
62,역할놀이,물 나오는 뽀득뽀득 싱크대,1,해피플레이,"수조, 상판, 건조대, 주방기구10개, 음식7개","서울특별시 용산구 백범로 329, 1층"
63,역할놀이,물 나오는 뽀득뽀득 싱크대,1,해피플레이,"수조, 상판, 건조대, 주방기구10개, 음식7개","서울특별시 용산구 백범로 329, 1층"
64,"조작,탐색",셈셈피자가게,0,행복한바오밥,총242개,"서울특별시 용산구 백범로 329, 1층"
65,"조작,탐색",셈셈피자가게,0,행복한바오밥,총242개,"서울특별시 용산구 백범로 329, 1층"
66,"조작,탐색",셈셈수놀이,0,행복한바오밥,총13개,"서울특별시 용산구 백범로 329, 1층"
67,"조작,탐색",셈셈수놀이,0,행복한바오밥,총13개,"서울특별시 용산구 백범로 329, 1층"
68,"조작,탐색",홀라 액티비티 하우스,1,홀라,"본체, 블록11개","서울특별시 용산구 백범로 329, 1층"
69,"조작,탐색",홀라 액티비티 하우스,1,홀라,"본체, 블록11개","서울특별시 용산구 백범로 329, 1층"
70,역할놀이,대형비행기 아기비행기장난감 -소방,0,Eyimtech,"비행기, 합금차6개, 구성물11개","서울특별시 용산구 백범로 329, 1층"
71,역할놀이,대형비행기 아기비행기장난감 -소방,0,Eyimtech,"비행기, 합금차6개, 구성물11개","서울특별시 용산구 백범로 329, 1층"
